zip_code,lat1,long1,lat2,long2,Distance
7201,40.6717,-74.2043,40.7261,-74.2313,6.4630747764786385
8901,40.4891,-74.4482,40.7261,-74.2313,32.08973775952107
7522,40.9252,-74.1781,40.7261,-74.2313,22.586915764834856
7036,40.6354,-74.2556,40.7261,-74.2313,10.291437665612335
7095,40.556,-74.2845,40.7261,-74.2313,19.43960048244114
7065,40.6087,-74.2819,40.7261,-74.2313,13.734176328470948
10025,40.7975,-73.9683,40.7261,-74.2313,23.53033859096282
7011,40.8789,-74.1425,40.7261,-74.2313,18.561952335708703
7407,40.9069,-74.1209,40.7261,-74.2313,22.1469114544662
7079,40.7465,-74.2575,40.7261,-74.2313,3.165197241713416
7304,40.718,-74.0754,40.7261,-74.2313,13.168961377115426
7110,40.8185,-74.1589,40.7261,-74.2313,11.94712289908924
8611,40.2171,-74.7429,40.7261,-74.2313,71.24679582875345
7039,40.7896,-74.3202,40.7261,-74.2313,10.291909875340723
7503,40.897,-74.1573,40.7261,-74.2313,19.99768511537442
8873,40.5007,-74.5013,40.7261,-74.2313,33.876048172958164
8861,40.5176,-74.2754,40.7261,-74.2313,23.48100984039132
7024,40.8503,-73.9745,40.7261,-74.2313,25.654222452559043
7202,40.6565,-74.2215,40.7261,-74.2313,7.783148510127911
8840,40.5449,-74.3517,40.7261,-74.2313,22.56502981252719
7206,40.6501,-74.1871,40.7261,-74.2313,9.236068914858956
10314,40.6039,-74.1472,40.7261,-74.2313,15.328102193964925
7901,40.7149,-74.3642,40.7261,-74.2313,11.269138957736368
8904,40.4991,-74.4266,40.7261,-74.2313,30.147824664515856
8859,40.4587,-74.305,40.7261,-74.2313,30.37775072451128
7022,40.817,-74.0,40.7261,-74.2313,21.94419776316133
7103,40.737,-74.1964,40.7261,-74.2313,3.1806794049713067
7203,40.653,-74.261,40.7261,-74.2313,8.50533305303951
7740,40.2992,-73.9912,40.7261,-74.2313,51.626500277537225
8854,40.5515,-74.459,40.7261,-74.2313,27.314137798864675
7045,40.9049,-74.3646,40.7261,-74.2313,22.828014415101528
7029,40.7445,-74.1508,40.7261,-74.2313,7.08447815713063
7062,40.6323,-74.3997,40.7261,-74.2313,17.619461724160153
11208,40.6762,-73.8736,40.7261,-74.2313,30.660066841753707
