zip_code,lat1,long1,lat2,long2
07079,40.7465,-74.2575,40.7261,-74.2313
07304,40.718,-74.0754,40.7261,-74.2313
07110,40.8185,-74.1589,40.7261,-74.2313
08611,40.2171,-74.7429,40.7261,-74.2313
07039,40.7896,-74.3202,40.7261,-74.2313
07503,40.897,-74.1573,40.7261,-74.2313
08873,40.5007,-74.5013,40.7261,-74.2313
08861,40.5176,-74.2754,40.7261,-74.2313
07024,40.8503,-73.9745,40.7261,-74.2313
07202,40.6565,-74.2215,40.7261,-74.2313
08840,40.5449,-74.3517,40.7261,-74.2313
07206,40.6501,-74.1871,40.7261,-74.2313
10314,40.6039,-74.1472,40.7261,-74.2313
07901,40.7149,-74.3642,40.7261,-74.2313
08904,40.4991,-74.4266,40.7261,-74.2313
08859,40.4587,-74.305,40.7261,-74.2313
07022,40.817,-74,40.7261,-74.2313
07103,40.737,-74.1964,40.7261,-74.2313
07203,40.653,-74.261,40.7261,-74.2313
07740,40.2992,-73.9912,40.7261,-74.2313
08854,40.5515,-74.459,40.7261,-74.2313
07045,40.9049,-74.3646,40.7261,-74.2313
07029,40.7445,-74.1508,40.7261,-74.2313
07062,40.6323,-74.3997,40.7261,-74.2313
11208,40.6762,-73.8736,40.7261,-74.2313
07054,40.8621,-74.4117,40.7261,-74.2313
07508,40.9457,-74.1826,40.7261,-74.2313
07922,40.6752,-74.4346,40.7261,-74.2313
07208,40.6747,-74.2239,40.7261,-74.2313
10304,40.6102,-74.0878,40.7261,-74.2313
07013,40.8693,-74.1711,40.7261,-74.2313
07086,40.7681,-74.0208,40.7261,-74.2313
07102,40.732,-74.1765,40.7261,-74.2313
10309,40.5352,-74.2116,40.7261,-74.2313
08830,40.5716,-74.3167,40.7261,-74.2313
07442,40.9993,-74.2876,40.7261,-74.2313
08872,40.46,-74.3478,40.7261,-74.2313
07057,40.8536,-74.1079,40.7261,-74.2313
08512,40.3039,-74.5065,40.7261,-74.2313
07506,40.9564,-74.1569,40.7261,-74.2313
07093,40.7888,-74.0115,40.7261,-74.2313
07450,40.982,-74.1131,40.7261,-74.2313
18301,41.0367,-75.1735,40.7261,-74.2313
07748,40.3944,-74.1157,40.7261,-74.2313
11550,40.7049,-73.6176,40.7261,-74.2313
07728,40.2458,-74.2768,40.7261,-74.2313
08817,40.5171,-74.3973,40.7261,-74.2313
07033,40.6759,-74.2944,40.7261,-74.2313
08502,40.4483,-74.6557,40.7261,-74.2313
07649,40.9535,-74.0335,40.7261,-74.2313
07094,40.791,-74.0634,40.7261,-74.2313
10310,40.6324,-74.1171,40.7261,-74.2313
10301,40.6316,-74.0927,40.7261,-74.2313
07512,40.9048,-74.2168,40.7261,-74.2313
11201,40.694,-73.9903,40.7261,-74.2313
07070,40.8292,-74.1121,40.7261,-74.2313
08902,40.4538,-74.4823,40.7261,-74.2313
10466,40.8904,-73.8503,40.7261,-74.2313
10032,40.8382,-73.942,40.7261,-74.2313
07071,40.8094,-74.1245,40.7261,-74.2313
07073,40.8385,-74.1041,40.7261,-74.2313
07076,40.6379,-74.3682,40.7261,-74.2313
07470,40.9471,-74.2466,40.7261,-74.2313
07204,40.6651,-74.267,40.7261,-74.2313
07105,40.7271,-74.1563,40.7261,-74.2313
07088,40.7179,-74.2829,40.7261,-74.2313
07075,40.8493,-74.0878,40.7261,-74.2313
07002,40.6664,-74.1192,40.7261,-74.2313
08021,39.8036,-75.0058,40.7261,-74.2313
07008,40.5823,-74.2313,40.7261,-74.2313
08837,40.5325,-74.3375,40.7261,-74.2313
07077,40.5542,-74.2607,40.7261,-74.2313
07032,40.7647,-74.1471,40.7261,-74.2313
07026,40.8789,-74.1081,40.7261,-74.2313
07660,40.8562,-74.023,40.7261,-74.2313
08882,40.4444,-74.3801,40.7261,-74.2313
07505,40.9166,-74.174,40.7261,-74.2313
08087,39.5881,-74.3646,40.7261,-74.2313
07042,40.8131,-74.2165,40.7261,-74.2313
07432,40.9957,-74.1409,40.7261,-74.2313
07885,40.9139,-74.5863,40.7261,-74.2313
